"Name","End Time","Runtime","State","cutoff_distance","dropout","hidden_channels","learning_rate","weight_decay","Test Accuracy","Test F1","Test Loss","Test Sensitivity","Test Specificity","Train Accuracy","Train F1","Train Loss","Train Sensitivity","Train Specificity"
"fearless-sweep-15","2025-01-15T15:30:14.000Z","507","finished","3.192701862664431","0.6","64","0.0003555463280777003","0.000004091269057057228","0.7483333333333333","0.7049628761234857","0.5381438334782919","0.588388780169602","0.9154737559645535","0.7722857142857142","0.732640053673264","0.45722250640392303","0.5926729986431479","0.971945701357466"
"dandy-sweep-16","2025-01-15T15:44:02.000Z","822","finished","5.667601199791975","0.8","64","0.00014570282756246102","0.000008998064856691706","0.7493333333333333","0.7071651090342679","0.5230099782347679","0.5923026744944553","0.9134287661895024","0.7615714285714286","0.724632898861574","0.4641049046601568","0.5959294436906377","0.9457013574660633"
"autumn-sweep-17","2025-01-15T15:57:58.000Z","827","finished","3.33296245519281","0.4","64","0.000023002450332281164","0.0000571729632560513","0.4866666666666667","0.60431654676259","0.6423282573620478","0.7671232876712328","0.19359236537150648","0.48757142857142854","0.6056074766355141","0.6493284319128309","0.7473541383989145","0.19879336349924584"
"twilight-sweep-18","2025-01-15T16:11:54.000Z","828","finished","6.278880299071233","0.4","32","0.00010394223364114503","4.537298096881895e-8","0.705","0.7025210084033613","0.5795259028673172","0.6816699282452707","0.7293796864349011","0.7495714285714286","0.75257586450247","0.5582800103085381","0.7234735413839891","0.7785822021116139"
"fallen-sweep-19","2025-01-15T16:26:20.000Z","858","finished","7.790170546021125","0.5","64","0.000015350070783577988","0.00002722684220203205","0.4796666666666667","0.605509224159717","0.6663215061028799","0.781474233529028","0.16428084526244036","0.473","0.6001084010840109","0.6728827229567936","0.7511533242876527","0.16380090497737557"
"glamorous-sweep-20","2025-01-15T16:32:12.000Z","344","finished","6.517708800111979","0.4","256","0.0006919451115758468","0.000002160287849398649","0.6566666666666666","0.5266544117647058","0.5894754379987717","0.37377690802348335","0.9522835719154737","0.69","0.6012495406100699","0.5548137107065746","0.44396200814111264","0.963499245852187"
"denim-sweep-21","2025-01-15T16:37:33.000Z","316","finished","7.153454054707191","0.5","32","0.000480418322678256","0.00002419194843400776","0.7086666666666667","0.6946191474493362","0.5908085306485494","0.6484018264840182","0.7716428084526245","0.7678571428571429","0.7548649871775531","0.5331293983118874","0.6789687924016282","0.8666666666666667"
"skilled-sweep-22","2025-01-15T16:45:47.000Z","488","finished","9.165036563650396","0.5","64","0.00028435112815951936","0.0000010261268061582885","0.7626666666666667","0.7701743060038735","0.5061765983700752","0.7782126549249837","0.7464212678936605","0.824","0.8359083644112946","0.42137668494667324","0.8515603799185889","0.7933634992458521"
"fine-sweep-23","2025-01-15T16:53:37.000Z","461","finished","6.08164000017854","0.4","128","0.00023625542384881896","0.0033350173516879696","0.7723333333333333","0.7905550444648881","0.5702411606907845","0.8408349641226354","0.7007498295841854","0.8228571428571428","0.8383733055265902","0.430994203048093","0.8727272727272727","0.7674208144796381"
"deft-sweep-24","2025-01-15T17:05:05.000Z","682","finished","5.143598715396199","0.5","32","0.0002931820214982607","0.0000027602201102596","0.743","0.7104769057453999","0.5402753725647926","0.6170906718851924","0.874573960463531","0.7772857142857142","0.7559104430875215","0.45138026986803326","0.6550881953867028","0.9131221719457013"
"magic-sweep-25","2025-01-15T17:18:20.000Z","790","finished","4.90555660810297","0.5","32","0.0000100048317409271","4.912230312777812e-7","0.5106666666666667","0.6759381898454746","0.6860151241223017","0.9986953685583823","0.0006816632583503749","0.5248571428571429","0.6884017238148773","0.6861512256520135","0.9970149253731343","0"
"fresh-sweep-26","2025-01-15T17:19:31.000Z","62","finished","7.863037584490133","0.4","256","0.0004152854381907643","0.00037589342561480233","0.511","0.6763732627399074","0.68986347814401","1","0","0.5264285714285715","0.6897519887693028","0.689491902078901","1","0"
"balmy-sweep-27","2025-01-15T17:36:10.000Z","989","finished","4.307695709602028","0.8","256","0.000032160174670685377","7.651442429314297e-8","0.7303333333333333","0.6846003898635478","0.5359858771165212","0.5727332028701891","0.8950238582140423","0.7311428571428571","0.678949164107813","0.5344216472336224","0.5400271370420624","0.9435897435897436"
"wild-sweep-28","2025-01-15T17:44:27.000Z","492","finished","7.986114047051966","0.4","128","0.00024202211287130596","0.000010209330543036596","0.7533333333333333","0.746922024623803","0.5460977653662363","0.7123287671232876","0.7961826857532379","0.8282857142857143","0.8262503613761203","0.3885132744908333","0.7755766621438264","0.8868778280542986"
"efficient-sweep-29","2025-01-15T17:50:40.000Z","367","finished","6.952969049568026","0.6","32","0.00043901783978590226","0.0000030903773199256013","0.7166666666666667","0.7160988643954576","0.584764743844668","0.6992824527071102","0.7348329925017042","0.7808571428571428","0.783638928067701","0.5109830094235284","0.7538670284938942","0.8108597285067873"
"super-sweep-30","2025-01-15T17:54:26.000Z","219","finished","3.0793955904718615","0.6","32","0.00001119086219266566","0.0013720095470055986","0.5083333333333333","0.6740331491712708","0.6941670626401901","0.994781474233529","0","0.5261428571428571","0.6895066928765328","0.692233926483563","0.9994572591587517","0"
"peach-sweep-31","2025-01-15T18:00:06.000Z","332","finished","5.4740934317757315","0.2","32","0.000380832657527761","7.576703911538165e-8","0.7066666666666667","0.6656534954407295","0.5875889708598455","0.5714285714285714","0.8479890933878664","0.7407142857142858","0.7012345679012346","0.5310999708516257","0.5780189959294437","0.9215686274509803"
"lilac-sweep-32","2025-01-15T18:05:07.000Z","295","finished","7.532479281004301","0.2","32","0.00043291703117139256","0.00000107853382580808","0.7116666666666667","0.6687093067790119","0.5784735381603241","0.5694716242661448","0.8602590320381731","0.7335714285714285","0.6904564315352697","0.5359492972493172","0.5644504748982361","0.9215686274509803"
"lemon-sweep-33","2025-01-15T18:19:57.000Z","882","finished","5.695461462247133","0.4","128","0.000023001134414145205","0.006139752654523884","0.697","0.6583990980834273","0.6043813278277715","0.5714285714285714","0.8282208588957055","0.7318571428571429","0.699728043513038","0.5963652751275471","0.5934871099050204","0.8856711915535445"
"soft-sweep-34","2025-01-15T18:30:36.000Z","634","finished","7.024208141596524","0.6","128","0.00016836056232899174","3.5317764740163386e-8","0.7486666666666667","0.735252808988764","0.5131787409385046","0.6829745596868885","0.8173142467620995","0.8237142857142857","0.8164236834275513","0.3968267898474421","0.744640434192673","0.9116138763197587"
"gallant-sweep-35","2025-01-15T18:31:40.000Z","57","finished","5.931174397692716","0.8","64","0.0006114764670191288","2.860071598242354e-7","0.511","0.6763732627399074","0.6915454715490341","1","0","0.5264285714285715","0.6897519887693028","0.6904015115329197","1","0"
"breezy-sweep-36","2025-01-15T18:48:37.000Z","1012","finished","3.583601052342376","0.6","256","0.00001754101189721987","0.000006155399125789538","0.733","0.721584984358707","0.5685486197471619","0.6771037181996086","0.7914110429447853","0.7611428571428571","0.7529550827423168","0.5632867046764919","0.6914518317503392","0.8386123680241327"
"amber-sweep-37","2025-01-15T18:53:30.000Z","285","finished","4.054506348655922","0.4","128","0.0009246035564467324","0.0016474386378318284","0.757","0.7497425334706488","0.5635424678524336","0.7123287671232876","0.803680981595092","0.8187142857142857","0.8176986065220514","0.4194974643843515","0.7723202170963365","0.8702865761689291"
"dry-sweep-38","2025-01-15T19:02:47.000Z","548","finished","6.543156211213036","0.8","128","0.00014765572018287718","0.0000012449311962685925","0.7543333333333333","0.7627936916639846","0.5438196882605553","0.7729941291585127","0.7348329925017042","0.8064285714285714","0.8138991896717483","0.4585467683417456","0.8040705563093623","0.8090497737556561"
"olive-sweep-39","2025-01-15T19:17:13.000Z","860","finished","3.7454730571643102","0.2","128","0.000016102915036120543","0.00001284247471744442","0.6853333333333333","0.6418816388467374","0.6209390809138616","0.5518590998043053","0.8248125426039536","0.7124285714285714","0.6736910358242827","0.6228031984397343","0.5639077340569878","0.877526395173454"
"faithful-sweep-40","2025-01-15T19:20:37.000Z","198","finished","9.006592895136734","0.4","32","0.0007813367870413213","0.00008229111237876439","0.6823333333333333","0.619256891729924","0.5906426211198171","0.5055446836268754","0.8670756646216768","0.7134285714285714","0.6496681802305274","0.5478368997573853","0.5047489823609227","0.9453996983408748"
"crimson-sweep-41","2025-01-15T19:37:36.000Z","1012","finished","3.933859605947315","0.5","256","0.000027665557575484465","1.4711917930129422e-8","0.7233333333333334","0.6810146041506533","0.5284308219949404","0.5779517286366601","0.8752556237218814","0.7528571428571429","0.714332892998679","0.5105663569910186","0.5869742198100407","0.9372549019607843"
"cerulean-sweep-42","2025-01-15T19:51:00.000Z","795","finished","5.885590661183338","0.8","32","0.000030238713927320264","0.000015448301082955464","0.49166666666666664","0.6512691516121656","0.6710681915283203","0.928897586431833","0.034764826175869123","0.505","0.6674344946731932","0.673679089971951","0.9435549525101764","0.017496229260935144"
"stellar-sweep-43","2025-01-15T19:58:02.000Z","412","finished","4.490866939136754","0.8","64","0.00062398410919688","0.0003439386227148087","0.7743333333333333","0.7837751517087193","0.5377679864565531","0.8003913894324853","0.7471029311520109","0.8574285714285714","0.8652079956780119","0.3763335325888225","0.8691994572591587","0.8443438914027149"
"electric-sweep-44","2025-01-15T20:07:26.000Z","556","finished","5.672701275793877","0.8","64","0.00021328162405569897","0.00000929289224956692","0.77","0.7875615763546798","0.5320878227551779","0.8343118069145466","0.7027948193592365","0.8155714285714286","0.8293005421129181","0.4633130814347948","0.8510176390773405","0.7761689291101056"
"serene-sweep-45","2025-01-15T20:19:37.000Z","723","finished","4.196586804341532","0.6","64","0.00017471932954236203","3.4114778677686074e-7","0.7676666666666667","0.7768171629843099","0.5033171673615774","0.7912589693411611","0.7430129516019086","0.8357142857142857","0.8448461953588775","0.3945657493812697","0.8496607869742198","0.820211161387632"
"feasible-sweep-46","2025-01-15T20:30:03.000Z","616","finished","6.2181247471466214","0.8","256","0.0000819192541895958","0.0033416047586384543","0.733","0.6913294797687861","0.5312493791182836","0.5851272015655578","0.8875255623721882","0.7514285714285714","0.7072678331090175","0.49293982663324903","0.5704206241519675","0.9526395173453996"
"silvery-sweep-47","2025-01-15T20:41:16.000Z","664","finished","9.464379144729364","0.8","32","0.00024441893578936184","2.0456066646603401e-7","0.7326666666666667","0.7321309285237141","0.5645651618639628","0.7149380300065231","0.7511929107021131","0.7872857142857143","0.7876800228147726","0.5213194585272244","0.7495251017639077","0.8292609351432881"
"helpful-sweep-48","2025-01-15T20:54:34.000Z","791","finished","9.4353690316399","0.5","32","0.00012651213737525726","0.000005625855725897866","0.716","0.7142857142857143","0.5790029019117355","0.6947162426614482","0.7382413087934561","0.7657142857142857","0.7665148063781321","0.5580784465585437","0.7305291723202171","0.8048265460030166"
