"Name","Sweep","End Time","Runtime","State","cutoff_distance","dropout","hidden_channels","learning_rate","weight_decay","Test Accuracy","Test F1","Test Loss","Test Sensitivity","Test Specificity","Train Accuracy","Train F1","Train Loss","Train Sensitivity","Train Specificity"
"dulcet-sweep-170","jbbvi8as","2025-01-21T16:34:33.000Z","555","finished","3.2372530392507706","0.6","192","0.00018269962959402647","0.00017283479899815797","0.7653333333333333","0.7656458055925432","0.5064464509487152","0.7501630789302022","0.7811860940695297","0.841","0.8456952724247886","0.3864110878535679","0.8276797829036635","0.8558069381598793"
"silver-sweep-169","jbbvi8as","2025-01-21T16:25:11.000Z","582","finished","7.507513398785655","0.8","256","0.00017423445778174242","0.000049103525848098505","0.7783333333333333","0.7990329404653974","0.5499369775255522","0.8623613829093281","0.6905248807089298","0.8255714285714286","0.8448735865836615","0.4347519416894232","0.9023066485753052","0.7402714932126697"
"volcanic-sweep-168","jbbvi8as","2025-01-21T16:15:22.000Z","465","finished","7.956739372609891","0.4","192","0.0004227922717555348","0.000034246983768059837","0.753","0.7227833894500562","0.5135172406832377","0.6301369863013698","0.8813905930470347","0.8341428571428572","0.8202508128193219","0.3730090122137751","0.7188602442333786","0.9622926093514328"
"soft-sweep-167","jbbvi8as","2025-01-21T16:07:30.000Z","55","finished","8.709855430199761","0.6","256","0.0005119776246345561","0.00026131386453985973","0.511","0.6763732627399074","0.6923394650220871","1","0","0.5264285714285715","0.6897519887693028","0.6913967217717852","1","0"
"vital-sweep-166","jbbvi8as","2025-01-21T16:06:28.000Z","922","finished","7.15045197749338","0.4","192","0.00007035226789375707","0.00003980682728022337","0.7573333333333333","0.7433004231311706","0.4819090018669765","0.6875407697325505","0.8302658486707567","0.822","0.812462372065021","0.3745323589869908","0.7324287652645861","0.9215686274509804"
"helpful-sweep-165","jbbvi8as","2025-01-21T15:51:01.000Z","1082","finished","3.364688355291715","0.5","320","0.0000513517274412085","0.000021873620109574094","0.76","0.7430406852248393","0.4881525188684463","0.6790606653620352","0.8445807770961146","0.8332857142857143","0.8234760248071397","0.3561901215996061","0.7386702849389416","0.9384615384615383"
"easy-sweep-164","jbbvi8as","2025-01-21T15:32:54.000Z","280","finished","7.216458298696105","0.8","320","0.0006857350119746874","0.000156487684214197","0.5663333333333334","0.3345268542199488","0.6727153211832047","0.21330724070450097","0.9352419904567144","0.5627142857142857","0.3395900755124056","0.6793181534324374","0.2135685210312076","0.9508295625942684"
"dulcet-sweep-163","jbbvi8as","2025-01-21T15:28:07.000Z","864","finished","8.659327316831302","0.8","128","0.00005479836160026692","0.00003937811132909752","0.736","0.7185501066098081","0.553904394308726","0.6594911937377691","0.8159509202453987","0.773","0.7587672688629118","0.518322291118758","0.6781546811397557","0.8784313725490196"
"fast-sweep-162","jbbvi8as","2025-01-21T15:13:37.000Z","978","finished","3.349088864596291","0.4","320","0.00006109136894667554","0.0002801414936237074","0.745","0.7079037800687286","0.5206256831685702","0.6046966731898239","0.8916155419222904","0.7998571428571428","0.772823090643749","0.4041568828480585","0.6466757123473541","0.9701357466063348"
"young-sweep-161","jbbvi8as","2025-01-21T14:57:11.000Z","557","finished","6.73945286940759","0.4","320","0.00024508868863971087","0.00003440797776039294","0.7393333333333333","0.6989992301770592","0.5373619496822357","0.5923026744944553","0.8929788684389911","0.8032857142857143","0.7813244402096237","0.4155605914337294","0.6675712347354138","0.9541478129713424"
"worldly-sweep-160","jbbvi8as","2025-01-21T14:47:49.000Z","77","finished","4.905641186849911","0.6","256","0.0002624354765606712","0.0000428517246285788","0.511","0.6763732627399074","0.6905261874198914","1","0","0.5264285714285715","0.6897519887693028","0.6891302232231412","1","0"
"major-sweep-159","jbbvi8as","2025-01-21T14:46:22.000Z","344","finished","8.972078901884963","0.5","128","0.0004448546580345942","0.0001787623557167551","0.7383333333333333","0.7052196770559519","0.557447557648023","0.6125244618395304","0.8698023176550784","0.7905714285714286","0.7650641025641025","0.4344817910875593","0.6477611940298508","0.9493212669683256"
"sparkling-sweep-158","jbbvi8as","2025-01-21T14:40:28.000Z","487","finished","3.952894583893736","0.6","128","0.0002232825143802716","0.000014637216620014553","0.7573333333333333","0.7573333333333333","0.5364378914237022","0.741030658838878","0.7743694614860259","0.8232857142857143","0.8238644453937064","0.4103684521147183","0.7850746268656716","0.8657616892911011"
"dashing-sweep-157","jbbvi8as","2025-01-21T14:32:16.000Z","370","finished","4.915233820710535","0.6","128","0.0008840865279594804","0.00018870805397306392","0.7073333333333334","0.6496408619313647","0.5624246994654337","0.5309849967384214","0.8916155419222904","0.7375714285714285","0.6840928632846087","0.5087727531790733","0.5397557666214383","0.9574660633484164"
"misty-sweep-156","jbbvi8as","2025-01-21T14:25:57.000Z","494","finished","8.70951818511376","0.5","256","0.00015888798036658796","0.0009055383392683592","0.7876666666666666","0.7883017613825191","0.4865506812930107","0.7736464448793215","0.8023176550783913","0.833","0.8398849472674976","0.4065721237233707","0.83202170963365","0.8340874811463047"
"decent-sweep-155","jbbvi8as","2025-01-21T14:17:33.000Z","514","finished","7.734749140456351","0.6","192","0.00017076920779512012","0.000028841114201779663","0.7513333333333333","0.728134110787172","0.5101423263549805","0.6516634050880626","0.8554873892297206","0.8172857142857143","0.8080444244334384","0.4060400862778936","0.7305291723202171","0.9137254901960784"
"amber-sweep-154","jbbvi8as","2025-01-21T14:08:54.000Z","574","finished","3.050979603417005","0.4","320","0.0002729791468842979","0.00004588038671516855","0.7386666666666667","0.6893819334389857","0.5681866606076559","0.5675146771037182","0.9175187457396048","0.7875714285714286","0.7525378598768514","0.4569467061332294","0.6135685210312076","0.980995475113122"
"true-sweep-153","jbbvi8as","2025-01-21T13:59:15.000Z","538","finished","3.5723329926784095","0.4","320","0.000196895227940784","0.0008351470911957107","0.743","0.713276310896244","0.5206615080436071","0.6255707762557078","0.8657123381049762","0.7891428571428571","0.7623953638119768","0.4360656035797937","0.6426051560379918","0.9520361990950226"
"comic-sweep-152","jbbvi8as","2025-01-21T13:50:12.000Z","298","finished","7.729563685915705","0.6","128","0.0006762223496077238","0.00004943147035203559","0.6793333333333333","0.6117836965294592","0.6013127615054449","0.49445531637312456","0.8725289706884799","0.7507142857142857","0.710661581827226","0.5071934695754733","0.5815468113975577","0.938763197586727"
"clear-sweep-151","jbbvi8as","2025-01-21T13:45:09.000Z","51","finished","6.589127648735392","0.5","192","0.0008095810096418808","0.00001061621961078878","0.511","0.6763732627399074","0.6917144954204559","1","0","0.5265714285714286","0.6898165481093224","0.6914584317377636","1","0.00030165912518853697"
"balmy-sweep-150","jbbvi8as","2025-01-21T13:44:08.000Z","390","finished","3.7849668324154666","0.4","192","0.0006807877877369255","0.0002653980256619367","0.7573333333333333","0.7584605175846052","0.5329378843307495","0.7455968688845401","0.7695978186775733","0.8728571428571429","0.875733035464954","0.3115643560886383","0.8510176390773405","0.8971342383107089"
