_step,Train F1,Train Loss,Test Sensitivity,Test Specificity,Train Sensitivity,Test F1,Train Accuracy,_runtime,_timestamp,Test Loss,Test Accuracy,Train Specificity
1755,0.8874734607218684,0.3061477988958359,0.7766990291262136,0.7938144329896907,0.8495934959349594,0.7881773399014779,0.8857758620689655,670.3171584606171,1751664568.8331914,0.5361412167549133,0.785,0.926605504587156
1756,0.8874734607218684,0.30292560160160065,0.7766990291262136,0.7938144329896907,0.8495934959349594,0.7881773399014779,0.8857758620689655,670.6849043369293,1751664569.2009373,0.5366029143333435,0.785,0.926605504587156
1757,0.8869936034115139,0.302859902381897,0.7766990291262136,0.7938144329896907,0.8455284552845529,0.7881773399014779,0.8857758620689655,671.0537672042847,1751664569.5698001,0.5351986885070801,0.785,0.9311926605504587
1758,0.8714596949891068,0.310652494430542,0.7669902912621359,0.8247422680412371,0.8130081300813008,0.7939698492462312,0.8728448275862069,671.4210124015808,1751664569.9370453,0.532697856426239,0.795,0.9403669724770642
1759,0.8940677966101694,0.30735398828983307,0.7766990291262136,0.7938144329896907,0.8577235772357723,0.7881773399014779,0.8922413793103449,671.7889978885651,1751664570.3050308,0.535111129283905,0.785,0.9311926605504587
1760,0.8926315789473684,0.3062714636325836,0.7766990291262136,0.7938144329896907,0.8617886178861789,0.7881773399014779,0.8900862068965517,672.1581838130951,1751664570.6742167,0.5357832908630371,0.785,0.9220183486238532
1761,0.8907922912205567,0.30754804611206055,0.7766990291262136,0.8041237113402062,0.8455284552845529,0.7920792079207921,0.8900862068965517,672.5288009643555,1751664571.044834,0.5331217050552368,0.79,0.9403669724770642
1762,0.8907922912205567,0.30674420297145844,0.7766990291262136,0.8041237113402062,0.8455284552845529,0.7920792079207921,0.8900862068965517,672.8998200893402,1751664571.415853,0.5333813428878784,0.79,0.9403669724770642
1763,0.8964059196617337,0.30272194743156433,0.7766990291262136,0.7938144329896907,0.8617886178861789,0.7881773399014779,0.8943965517241379,673.268960237503,1751664571.7849932,0.5359048843383789,0.785,0.9311926605504587
1764,0.8972746331236897,0.30224350094795227,0.7766990291262136,0.7938144329896907,0.8699186991869918,0.7881773399014779,0.8943965517241379,673.6368317604065,1751664572.1528647,0.537905752658844,0.785,0.9220183486238532
1765,0.8836206896551724,0.3032641261816025,0.7766990291262136,0.8041237113402062,0.8333333333333334,0.7920792079207921,0.8836206896551724,674.0084002017975,1751664572.5244331,0.5331445336341858,0.79,0.9403669724770642
1766,0.8964059196617337,0.30259911715984344,0.7766990291262136,0.7938144329896907,0.8617886178861789,0.7881773399014779,0.8943965517241379,674.3770453929901,1751664572.8930783,0.5354470610618591,0.785,0.9311926605504587
1767,0.8949579831932774,0.3020070940256119,0.7766990291262136,0.7938144329896907,0.8658536585365854,0.7881773399014779,0.8922413793103449,674.7463128566742,1751664573.2623458,0.5376982092857361,0.785,0.9220183486238532
1768,0.8848484848484849,0.3086617887020111,0.7961165048543689,0.7422680412371134,0.8902439024390244,0.780952380952381,0.8771551724137931,675.1158804893494,1751664573.6319134,0.5539986491203308,0.77,0.8623853211009175
1769,0.8884381338742393,0.3026585429906845,0.7766990291262136,0.7525773195876289,0.8902439024390244,0.7729468599033816,0.8814655172413793,675.4839012622833,1751664573.9999342,0.5480414032936096,0.765,0.8715596330275229
1770,0.8812095032397408,0.30778074264526367,0.7669902912621359,0.8041237113402062,0.8292682926829268,0.7860696517412935,0.8814655172413793,675.8541352748871,1751664574.3701682,0.5321127772331238,0.785,0.9403669724770642
1771,0.8653421633554084,0.31902043521404266,0.7281553398058253,0.845360824742268,0.7967479674796748,0.7772020725388601,0.8685344827586207,676.2241311073303,1751664574.740164,0.5334169864654541,0.785,0.9495412844036697
1772,0.8787878787878788,0.30651120841503143,0.7669902912621359,0.8041237113402062,0.8252032520325203,0.7860696517412935,0.8793103448275862,676.5918099880219,1751664575.107843,0.5327370166778564,0.785,0.9403669724770642
1773,0.8940677966101694,0.3035591393709183,0.7766990291262136,0.7938144329896907,0.8577235772357723,0.7881773399014779,0.8922413793103449,676.9602980613708,1751664575.476331,0.5363327264785767,0.785,0.9311926605504587
1774,0.889795918367347,0.3046560287475586,0.7766990291262136,0.7525773195876289,0.8861788617886179,0.7729468599033816,0.8836206896551724,677.3277146816254,1751664575.8437476,0.548128068447113,0.765,0.8807339449541285
1775,0.8879837067209776,0.30718471109867096,0.7766990291262136,0.7525773195876289,0.8861788617886179,0.7729468599033816,0.8814655172413793,677.6948232650757,1751664576.2108562,0.5518597364425659,0.765,0.8761467889908257
1776,0.8964059196617337,0.30097824335098267,0.7766990291262136,0.7938144329896907,0.8617886178861789,0.7881773399014779,0.8943965517241379,678.0628123283386,1751664576.5788453,0.5373478531837463,0.785,0.9311926605504587
1777,0.899581589958159,0.3023398816585541,0.7766990291262136,0.7938144329896907,0.8739837398373984,0.7881773399014779,0.896551724137931,678.4300045967102,1751664576.9460375,0.5395491719245911,0.785,0.9220183486238532
1778,0.8959660297239915,0.3024854511022568,0.7766990291262136,0.7938144329896907,0.8577235772357723,0.7881773399014779,0.8943965517241379,678.7991034984589,1751664577.3151364,0.5347537398338318,0.785,0.9357798165137615
1779,0.8921161825726142,0.30526022613048553,0.7766990291262136,0.7628865979381443,0.8739837398373984,0.7766990291262136,0.8879310344827587,679.1679196357727,1751664577.6839526,0.5414305925369263,0.77,0.9036697247706422
1780,0.8920570264765784,0.30070795118808746,0.7766990291262136,0.7525773195876289,0.8902439024390244,0.7729468599033816,0.8857758620689655,679.5358600616455,1751664578.051893,0.5440352559089661,0.765,0.8807339449541285
1781,0.8921775898520085,0.30121447145938873,0.7766990291262136,0.7938144329896907,0.8577235772357723,0.7881773399014779,0.8900862068965517,679.9050514698029,1751664578.4210844,0.535579264163971,0.785,0.926605504587156
1782,0.8940677966101694,0.29839988052845,0.7766990291262136,0.7938144329896907,0.8577235772357723,0.7881773399014779,0.8922413793103449,680.2728533744812,1751664578.7888863,0.5351597666740417,0.785,0.9311926605504587
1783,0.8902439024390244,0.30477558076381683,0.7766990291262136,0.7525773195876289,0.8902439024390244,0.7729468599033816,0.8836206896551724,680.6399517059326,1751664579.1559846,0.5486239790916443,0.765,0.8761467889908257
1784,0.8879837067209776,0.30468572676181793,0.7766990291262136,0.7525773195876289,0.8861788617886179,0.7729468599033816,0.8814655172413793,681.0080010890961,1751664579.524034,0.547904908657074,0.765,0.8761467889908257
1785,0.8653421633554084,0.31114503741264343,0.7281553398058253,0.8350515463917526,0.7967479674796748,0.7731958762886598,0.8685344827586207,681.3757081031799,1751664579.891741,0.534429669380188,0.78,0.9495412844036697
1786,0.8907922912205567,0.3022053837776184,0.7766990291262136,0.8041237113402062,0.8455284552845529,0.7920792079207921,0.8900862068965517,681.7436008453369,1751664580.2596338,0.5343679189682007,0.79,0.9403669724770642
1787,0.8902439024390244,0.3032457083463669,0.7766990291262136,0.7525773195876289,0.8902439024390244,0.7729468599033816,0.8836206896551724,682.1106479167938,1751664580.6266809,0.5494529008865356,0.765,0.8761467889908257
1788,0.8866396761133604,0.3027902841567993,0.7864077669902912,0.7422680412371134,0.8902439024390244,0.7751196172248804,0.8793103448275862,682.4777595996857,1751664580.9937925,0.5531875491142273,0.765,0.8669724770642202
1789,0.8948453608247423,0.3005092293024063,0.7766990291262136,0.7731958762886598,0.8821138211382114,0.7804878048780488,0.8900862068965517,682.8472843170166,1751664581.3633173,0.5437731742858887,0.775,0.8990825688073395
1790,0.8931623931623932,0.3021784722805023,0.7766990291262136,0.7938144329896907,0.8495934959349594,0.7881773399014779,0.8922413793103449,683.2157907485962,1751664581.7318237,0.535637617111206,0.785,0.9403669724770642
1791,0.8653421633554084,0.3221714049577713,0.7184466019417476,0.845360824742268,0.7967479674796748,0.7708333333333334,0.8685344827586207,683.5873811244965,1751664582.103414,0.5356950163841248,0.78,0.9495412844036697
